SKU,Item Name,Store,Total Units Sold (full window),"Units Sold (last 90 days, this store)",Avg Daily Units (this store),Gappy Sales Pattern,Spiky Sales Pattern,Suggested Par Level
52000324815,Gatorade Cool Blue 20oz,Beach Liquors & Cigars ,47.0,29.0,0.322,,,3
52000324815,Gatorade Cool Blue 20oz,Warehouse,47.0,0,0.0,,,0
283572,MARLBORO RED SHORTS,(Bayview/Coral Ridge) Ocean Wine & Spirits ,46.0,0,0.0,,,0
283572,MARLBORO RED SHORTS,(FTL Beach/A1A) Ocean Wine & Spirits ,46.0,5.0,0.056,,,1
283572,MARLBORO RED SHORTS,(Las Olas) Ocean Wine & Spirits ,46.0,21.0,0.233,,,3
283572,MARLBORO RED SHORTS,Beach Liquors & Cigars ,46.0,20.0,0.222,,,2
283572,MARLBORO RED SHORTS,Warehouse,46.0,0,0.0,,,0
497640,SPRITE 20OZ,(Bayview/Coral Ridge) Ocean Wine & Spirits ,42.0,0,0.0,,,0
497640,SPRITE 20OZ,(FTL Beach/A1A) Ocean Wine & Spirits ,42.0,10.0,0.111,,,2
497640,SPRITE 20OZ,(Las Olas) Ocean Wine & Spirits ,42.0,11.0,0.122,,,2
497640,SPRITE 20OZ,Beach Liquors & Cigars ,42.0,21.0,0.233,,,3
497640,SPRITE 20OZ,Warehouse,42.0,0,0.0,,,0
08567507,NEW AMSTERDAM PINK WHITNEY 50ML,(Bayview/Coral Ridge) Ocean Wine & Spirits ,41.0,0,0.0,,,0
08567507,NEW AMSTERDAM PINK WHITNEY 50ML,(FTL Beach/A1A) Ocean Wine & Spirits ,41.0,13.0,0.144,,,2
08567507,NEW AMSTERDAM PINK WHITNEY 50ML,(Las Olas) Ocean Wine & Spirits ,41.0,22.0,0.244,,,3
08567507,NEW AMSTERDAM PINK WHITNEY 50ML,Beach Liquors & Cigars ,41.0,6.0,0.067,,,1
08567507,NEW AMSTERDAM PINK WHITNEY 50ML,Warehouse,41.0,0,0.0,,,0
611269818994,Red bull 12oz,(Bayview/Coral Ridge) Ocean Wine & Spirits ,40.0,9.0,0.1,,,1
611269818994,Red bull 12oz,(FTL Beach/A1A) Ocean Wine & Spirits ,40.0,2.0,0.022,,,1
611269818994,Red bull 12oz,(Las Olas) Ocean Wine & Spirits ,40.0,17.0,0.189,,,2
611269818994,Red bull 12oz,Beach Liquors & Cigars ,40.0,12.0,0.133,,,2
611269818994,Red bull 12oz,Warehouse,40.0,0,0.0,,,0
632565000012,FIJI 500ML SINGLE,(Bayview/Coral Ridge) Ocean Wine & Spirits ,40.0,2.0,0.022,,,1
632565000012,FIJI 500ML SINGLE,(FTL Beach/A1A) Ocean Wine & Spirits ,40.0,2.0,0.022,,,1
